"lemnaID","LIB","Name","New_name","Lat","Long","Category","Genotype","from","percGerm"
"TB_setaria_12_0128","XCGG","Estep_ME017-1","TB_setaria_12_0128","49.19226","-98.47718","Diversity","TB_0128","XCGG_XCGG_XCGG_XCGG",0.9
"TB_setaria_12_0129","ACOYZ","Estep_ME018","TB_setaria_12_0129","49.38815","-99.31496","Diversity","TB_0129","ACOYZ_ACOYZ_ACOYZ_ACOYZ",0.9
"TB_setaria_12_0130","TCTH","ME019","TB_setaria_12_0130","49.40199","-98.83965","Diversity","TB_0130","TCTH_TCTH_TCTH_TCTH",0.9
"TB_setaria_12_0131","SYWN","ME020","TB_setaria_12_0131","49.59538","-98.86997","Diversity","TB_0131","SYWN_SYWN_SYWN_SYWN",0.85
"TB_setaria_12_0135","AGTZB","Estep_ME024V","TB_setaria_12_0135","49.62346","-98.76953","Diversity","TB_0135","AGTZB_AGTZB_AGTZB_AGTZB",0.85
"TB_setaria_12_0137","XCGP","Estep_ME026-1","TB_setaria_12_0137","49.65886","-98.80159","Diversity","TB_0137","XCGP_XCGP_XCGP_XCGP",0.9
"TB_setaria_12_0139","TCTN","ME028V","TB_setaria_12_0139","49.69464","-98.79431","Diversity","TB_0139","TCTN_TCTN_TCTN_TCTN",0.45
"TB_setaria_12_0146","XCGS","Estep_ME033V-1","TB_setaria_12_0146","49.68554","-98.61968","Diversity","TB_0146","XCGS_XCGS_XCGS_XCGS",0.6
"TB_setaria_12_0157","NYNA","ME044","TB_setaria_12_0157","49.49835","-98.04111","Diversity","TB_0157","NYNA_NYNA_NYNA_NYNA",0.95
"TB_setaria_12_0159","XCGU","Estep_ME046-1","TB_setaria_12_0159","49.50081","-98.02994","Diversity","TB_0159","XCGU_XCGU_XCGU_XCGU",0.9
"TB_setaria_12_0161","NYNB","ME048V","TB_setaria_12_0161","45.96494","-96.83842","Diversity","TB_0161","NYNB_NYNB_NYNB_NYNB",0.95
"TB_setaria_12_0165","XCGX","Estep_ME050V-1","TB_setaria_12_0165","44.66","-96.8174","Diversity","TB_0165","XCGX_XCGX_XCGX_XCGX",0.85
"TB_setaria_12_0167","XCGY","Estep_ME051V-1","TB_setaria_12_0167","43.90858","-96.75929","Diversity","TB_0167","XCGY_XCGY_XCGY_XCGY",0.85
"TB_setaria_12_0169","NYNC","ME052V","TB_setaria_12_0169","43.08312","-96.79729","Diversity","TB_0169","NYNC_NYNC_NYNC_NYNC",0.9
