TB_setaria_12_0004	0.000001  0.999996  0.000001  0.000001
TB_setaria_12_0007	0.655607  0.308310  0.036081  0.000001
TB_setaria_12_0008	0.017035  0.982962  0.000001  0.000001
TB_setaria_12_0011	0.226905  0.706867  0.000001  0.066227
TB_setaria_12_0016	0.667626  0.332372  0.000001  0.000001
TB_setaria_12_0018	0.046548  0.416995  0.536455  0.000001
TB_setaria_12_0129	0.000001  0.000001  0.003126  0.996871
TB_setaria_12_0025	0.000001  0.999996  0.000001  0.000001
TB_setaria_12_0026	0.000001  0.241599  0.670574  0.087826
TB_setaria_12_0045	0.000001  0.999996  0.000001  0.000001
TB_setaria_12_0049	0.000001  0.807703  0.192294  0.000001
TB_setaria_12_0051	0.000001  0.635153  0.202176  0.162670
TB_setaria_12_0062	0.469125  0.434938  0.000001  0.095935
TB_setaria_12_0067	0.000001  0.000001  0.999996  0.000001
TB_setaria_12_0069	0.668132  0.331865  0.000001  0.000001
TB_setaria_12_0082	0.667277  0.332720  0.000001  0.000001
TB_setaria_12_0084	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0090	0.000001  0.765321  0.000001  0.234676
TB_setaria_12_0092	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0098	0.388288  0.309540  0.116214  0.185959
TB_setaria_12_0253	0.000001  0.036211  0.076798  0.886990
TB_setaria_12_0113	0.000001  0.999996  0.000001  0.000001
TB_setaria_12_0114	0.645442  0.354555  0.000001  0.000001
TB_setaria_12_0171	0.610644  0.226974  0.004063  0.158319
TB_setaria_12_0203	0.012436  0.987561  0.000001  0.000001
TB_setaria_12_0207	0.094526  0.169107  0.736365  0.000001
TB_setaria_12_0536	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0537	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0543	0.480245  0.477159  0.000001  0.042594
TB_setaria_12_0545	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0548	0.464045  0.415178  0.052797  0.067979
TB_setaria_12_0556	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0561	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0562	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0568	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0576	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0577	0.154618  0.595244  0.222612  0.027526
TB_setaria_12_0578	0.000001  0.910626  0.000001  0.089371
TB_setaria_12_0583	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0584	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0585	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0587	0.956447  0.043550  0.000001  0.000001
TB_setaria_12_0589	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0595	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0596	0.818390  0.090492  0.091116  0.000001
TB_setaria_12_0600	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0601	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0603	0.279211  0.000001  0.720786  0.000001
TB_setaria_12_0604	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0607	0.564117  0.409524  0.026358  0.000001
TB_setaria_12_0608	0.365378  0.305757  0.000001  0.328864
TB_setaria_12_0609	0.841231  0.070991  0.087777  0.000001
TB_setaria_12_0613	0.132702  0.588076  0.162834  0.116389
TB_setaria_12_0615	0.000001  0.999996  0.000001  0.000001
TB_setaria_12_0616	0.000001  0.999996  0.000001  0.000001
TB_setaria_12_0617	0.000001  0.999996  0.000001  0.000001
TB_setaria_12_0618	0.000001  0.511145  0.000001  0.488852
TB_setaria_12_0619	0.000001  0.724596  0.000001  0.275401
TB_setaria_12_0620	0.000001  0.724597  0.000001  0.275400
TB_setaria_12_0622	0.000001  0.999996  0.000001  0.000001
TB_setaria_12_0623	0.000001  0.978476  0.000001  0.021521
TB_setaria_12_0626	0.000001  0.901474  0.000001  0.098523
TB_setaria_12_0634	0.000001  0.900667  0.000001  0.099330
TB_setaria_12_0638	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0640	0.305584  0.110231  0.584183  0.000001
TB_setaria_12_0641	0.000001  0.999996  0.000001  0.000001
TB_setaria_12_0529	0.000001  0.000001  0.999996  0.000001
TB_setaria_12_0530	0.014177  0.012111  0.973711  0.000001
TB_setaria_12_0531	0.000003  0.000001  0.923828  0.076168
A10.1	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0401	0.479501  0.444361  0.000001  0.076136
TB_setaria_12_0402	0.324593  0.000001  0.558026  0.117379
TB_setaria_12_0403	0.655299  0.089957  0.197671  0.057072
TB_setaria_12_0407	0.378781  0.186697  0.404787  0.029735
TB_setaria_12_0409	0.403180  0.000001  0.000001  0.596817
TB_setaria_12_0410	0.235356  0.000001  0.463218  0.301424
TB_setaria_12_0411	0.646050  0.000001  0.000001  0.353947
TB_setaria_12_0412	0.368986  0.000219  0.000001  0.630794
TB_setaria_12_0414	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0415	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0416	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0417	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0418	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0419	0.186386  0.029816  0.000001  0.783796
TB_setaria_12_0420	0.294699  0.000001  0.000001  0.705298
TB_setaria_12_0421	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0423	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0424	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0426	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0428	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0429	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0430	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0432	0.925816  0.000001  0.000001  0.074181
TB_setaria_12_0433	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0434	0.292673  0.000001  0.221268  0.486057
TB_setaria_12_0435	0.095315  0.000001  0.293686  0.610997
TB_setaria_12_0436	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0017	0.713252  0.286745  0.000001  0.000001
TB_setaria_12_0020	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0021	0.000001  0.815974  0.000001  0.184023
TB_setaria_12_0031	0.682865  0.271597  0.000001  0.045537
TB_setaria_12_0034	0.503089  0.496908  0.000001  0.000001
TB_setaria_12_0035	0.000001  0.880451  0.000001  0.119546
TB_setaria_12_0037	0.075956  0.703275  0.106398  0.114371
TB_setaria_12_0046	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0047	0.901917  0.096905  0.001177  0.000001
TB_setaria_12_0054	0.000001  0.936161  0.009322  0.054515
TB_setaria_12_0059	0.000001  0.999996  0.000001  0.000001
TB_setaria_12_0060	0.000001  0.999996  0.000001  0.000001
TB_setaria_12_0061	0.279620  0.407137  0.228251  0.084992
TB_setaria_12_0068	0.000001  0.000001  0.999996  0.000001
TB_setaria_12_0096	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0097	0.683486  0.000001  0.000001  0.316511
TB_setaria_12_0101	0.000001  0.419812  0.365431  0.214755
TB_setaria_12_0103	0.000001  0.000001  0.542695  0.457302
TB_setaria_12_0104	0.000001  0.614739  0.000001  0.385258
TB_setaria_12_0107	0.180100  0.539685  0.000001  0.280214
TB_setaria_12_0108	0.000001  0.791996  0.000001  0.208001
TB_setaria_12_0109	0.482999  0.369349  0.114094  0.033559
TB_setaria_12_0122	0.672157  0.057897  0.000001  0.269944
Yang_8054	0.013144  0.000001  0.852013  0.134842
TB_setaria_12_0003	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0010	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0015	0.000001  0.000001  0.999996  0.000001
TB_setaria_12_0020a	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0029	0.596731  0.403266  0.000001  0.000001
TB_setaria_12_0041	0.023184  0.976813  0.000001  0.000001
TB_setaria_12_0055	0.000001  0.999996  0.000001  0.000001
TB_setaria_12_0063a	0.000001  0.960352  0.000001  0.039645
TB_setaria_12_0100	0.000001  0.307314  0.000001  0.692683
TB_setaria_12_0109a	0.483035  0.369359  0.113500  0.034106
TB_setaria_12_0125a	0.000001  0.220863  0.000001  0.779134
TB_setaria_12_0135	0.000001  0.000001  0.000001  0.999996
TB_setaria_12_0144	0.000001  0.000001  0.000268  0.999729
TB_setaria_12_0208	0.002760  0.000001  0.381062  0.616177
TB_setaria_12_0254	0.022878  0.000001  0.329445  0.647675
TB_setaria_12_0256	0.000001  0.555436  0.000001  0.444561
TB_setaria_12_0258	0.000001  0.033710  0.545577  0.420712
TB_setaria_12_0260	0.000001  0.026093  0.150158  0.823748
TB_setaria_12_0266	0.000001  0.000001  0.959581  0.040416
TB_setaria_12_0267	0.000084  0.000001  0.999913  0.000001
TB_setaria_12_0269	0.017042  0.000001  0.236788  0.746168
TB_setaria_12_0629	0.000001  0.000001  0.999996  0.000001
TB_setaria_12_0631	0.000001  0.007225  0.992772  0.000001
TB_setaria_12_0539	0.459417  0.239473  0.268451  0.032659
TB_setaria_12_0540	0.145624  0.502318  0.138844  0.213214
TB_setaria_12_0541	0.018886  0.842261  0.000001  0.138852
TB_setaria_12_0544	0.463966  0.415385  0.052601  0.068048
TB_setaria_12_0546	0.410324  0.497836  0.000001  0.091839
TB_setaria_12_0547	0.000001  0.307710  0.555055  0.137233
TB_setaria_12_0549	0.000001  0.441626  0.412867  0.145505
TB_setaria_12_0550	0.448137  0.312586  0.145818  0.093460
TB_setaria_12_0551	0.510879  0.089130  0.240392  0.159598
TB_setaria_12_0553	0.000001  0.593601  0.000001  0.406397
TB_setaria_12_0554	0.315724  0.000001  0.625726  0.058549
TB_setaria_12_0555	0.401764  0.407784  0.000001  0.190450
TB_setaria_12_0557	0.657928  0.147897  0.194173  0.000001
TB_setaria_12_0558	0.000462  0.312304  0.000001  0.687232
TB_setaria_12_0559	0.000001  0.315204  0.000001  0.684794
TB_setaria_12_0560	0.972657  0.026689  0.000001  0.000653
TB_setaria_12_0563	0.963021  0.000001  0.036976  0.000001
TB_setaria_12_0564	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0565	0.911265  0.088732  0.000001  0.000001
TB_setaria_12_0566	0.939690  0.060308  0.000001  0.000001
TB_setaria_12_0567	0.999996  0.000001  0.000001  0.000001
TB_setaria_12_0569	0.812138  0.132093  0.000001  0.055768
TB_setaria_12_0572	0.785839  0.123943  0.000001  0.090217
TB_setaria_12_0573	0.613046  0.041478  0.000001  0.345474
TB_setaria_12_0574	0.947731  0.052266  0.000001  0.000001
TB_setaria_12_0575	0.999996  0.000001  0.000001  0.000001
