"","gwas_label","height_dap22_cm","SV_area_dap22_cm2"
"1","TB_setaria_12_0003",24.0592174972486,153.75863667646
"2","TB_setaria_12_0017",9.92696758333515,55.4920124640012
"3","TB_setaria_12_0023",21.3078060095839,76.7669413719331
"4","TB_setaria_12_0031",14.2182315229029,79.7017717091337
"5","TB_setaria_12_0035",17.9936058085334,80.6603072556496
"6","TB_setaria_12_0046",22.5271815552534,80.6224040891516
"7","TB_setaria_12_0052",16.6804321439663,70.2085090938261
"8","TB_setaria_12_0063",17.1259732087302,88.0197400445152
"9","TB_setaria_12_0095",19.3614950424576,90.6273594521823
"10","TB_setaria_12_0097",20.4948889791376,86.7138575112637
"11","TB_setaria_12_0100",15.7580839748061,63.5109011262342
"12","TB_setaria_12_0101",23.0430712091906,68.4315020457442
"13","TB_setaria_12_0103",22.6522457137837,86.4168506675335
"14","TB_setaria_12_0104",15.976946252234,40.0873364674469
"15","TB_setaria_12_0107",18.3375322444915,89.4073512805278
"16","TB_setaria_12_0109",16.211441549478,69.2988330978742
"17","TB_setaria_12_0122",25.6225194788761,91.4825496462933
"18","TB_setaria_12_0123",16.7351477133233,53.5989269685192
"19","TB_setaria_12_0124",20.7528338061062,93.3217415769113
"20","TB_setaria_12_0125",19.9164672459355,87.3546579198705
"21","TB_setaria_12_0127",8.81702317637957,35.6997488268152
"22","TB_setaria_12_0128",16.719514693507,153.028408484397
"23","TB_setaria_12_0129",18.3218992246753,81.8045090943079
"24","TB_setaria_12_0130",30.5625537408193,153.508712672364
"25","TB_setaria_12_0131",15.6642858559084,85.6516804938549
"26","TB_setaria_12_0135",13.6867088491495,99.3521945904407
"27","TB_setaria_12_0137",17.5715142734941,105.157005315912
"28","TB_setaria_12_0139",18.2906331850427,76.7314071533413
"29","TB_setaria_12_0146",12.7252781304486,89.2666949986017
"30","TB_setaria_12_0157",22.105090020214,98.6829668069603
"31","TB_setaria_12_0159",22.8554749713953,97.5538670112034
"32","TB_setaria_12_0161",21.6751819752664,101.393931567032
"33","TB_setaria_12_0165",23.7621901207392,91.439020228518
"34","TB_setaria_12_0167",17.680945412208,71.576280391125
"35","TB_setaria_12_0169",27.7017111144407,97.5674884616639
"36","TB_setaria_12_0204",25.4974553203459,118.093237594283
"37","TB_setaria_12_0206",17.1806887780872,104.1276974507
"38","TB_setaria_12_0212",19.9399167756598,153.314458944061
"39","TB_setaria_12_0226",25.4896388104378,94.672041883402
"40","TB_setaria_12_0255",20.2134946224446,92.8991804941561
"41","TB_setaria_12_0256",17.2432208573523,103.15968611256
"42","TB_setaria_12_0260",16.0082122918664,146.017803274708
"43","TB_setaria_12_0265",15.6955518955409,97.6338190030351
"44","TB_setaria_12_0266",19.4787426910797,63.0196405542016
"45","TB_setaria_12_0275",12.240654516144,65.0975039863615
"46","TB_setaria_12_0278",11.8498290207371,63.6634021476911
"47","TB_setaria_12_0281",23.0430712091906,136.960130955639
"48","TB_setaria_12_0282",16.3208726881919,93.1488083797641
"49","TB_setaria_12_0285",19.611623359518,116.503377430785
"50","TB_setaria_12_0292",16.4615698665385,94.2474079712294
"51","TB_setaria_12_0294",11.2166917181779,42.9978850886098
"52","TB_setaria_12_0296",13.1630026853042,43.2448479078233
"53","TB_setaria_12_0297",22.8085759119464,75.5066610858747
"54","TB_setaria_12_0299",8.3480325818913,26.7187711962072
"55","TB_setaria_12_0309",17.1025236790058,87.7070389209067
"56","TB_setaria_12_0310",20.4479899196888,141.407238412413
"57","TB_setaria_12_0311",15.695551895541,77.6606269695188
"58","TB_setaria_12_0314",19.8539351666704,99.9864803923055
"59","TB_setaria_12_0315",27.7955092333384,136.661643519468
"60","TB_setaria_12_0316",23.1056032884557,107.502559861464
"61","TB_setaria_12_0317",14.6012405084017,62.5058749770608
"62","TB_setaria_12_0319",11.0759945398315,63.6557030669962
"63","TB_setaria_12_0323",14.2573140724436,57.0638093997152
"64","TB_setaria_12_0333",9.06715149343999,51.9522120552739
"65","TB_setaria_12_0334",13.827406027496,48.9549007170494
"66","TB_setaria_12_0335",20.3385587809749,91.0724255400455
"67","TB_setaria_12_0336",18.1733855364206,86.0789794724222
"68","TB_setaria_12_0337",18.0170553382579,78.9688784506764
"69","TB_setaria_12_0339",18.2437341255939,116.968283457363
"70","TB_setaria_12_0341",9.43452745912247,44.7159645575269
"71","TB_setaria_12_0347",18.1108534571555,106.527441679604
"72","TB_setaria_12_0348",6.84726267952882,30.1561146079945
"73","TB_setaria_12_0352",8.72322505748192,41.3547235972239
"74","TB_setaria_12_0353",15.0545980830736,85.0878708921971
"75","TB_setaria_12_0354",8.42619768097267,52.2794229848075
"76","TB_setaria_12_0355",7.03485891732412,23.5254294187507
"77","TB_setaria_12_0358",20.0884304639145,82.2554975519365
"78","TB_setaria_12_0362",21.3859711086654,102.821814917449
"79","TB_setaria_12_0363",13.4678465717217,77.3804988796196
"80","TB_setaria_12_0366",15.5079556577457,88.6010206369805
"81","TB_setaria_12_0368",27.7642431937058,120.376311138812
"82","TB_setaria_12_0381",19.7679535576808,74.9623953044425
"83","TB_setaria_12_0407",11.7560309018394,62.2168633325136
"84","TB_setaria_12_0409",20.5183385088621,72.4735194105699
